Key;Area;Address;ValueType;Unit;Scale;Offset;Note
Cmd_PressJogForwardHold;Coil;327;Bool;;;0.0;HMI→PLC 下压_正向点动（按住保持）
Cmd_PressJogReverseHold;Coil;328;Bool;;;0.0;HMI→PLC 下压_反向点动（按住保持）
Param_ModeSwitch;HoldingRegister;600;Int16;;1.0;0.0;HMI→PLC 模式切换（需确认取值口径）
Param_JogAcc;HoldingRegister;1200;Float32;mm/s^2;1.0;0.0;HMI→PLC 点动加速度
Param_JogDec;HoldingRegister;1202;Float32;mm/s^2;1.0;0.0;HMI→PLC 点动减速度
Param_AutoAcc;HoldingRegister;1204;Float32;mm/s^2;1.0;0.0;HMI→PLC 自动加速度
Param_AutoDec;HoldingRegister;1206;Float32;mm/s^2;1.0;0.0;HMI→PLC 自动减速度
P22_BallSpeed;HoldingRegister;1208;Float32;mm/s;1.0;0.0;HMI→PLC P22球_设定速度
P22_BallTime;HoldingRegister;1210;Float32;s;1.0;0.0;HMI→PLC P22球_设定时间
P22_DiskSpeed;HoldingRegister;1212;Float32;mm/s;1.0;0.0;HMI→PLC P22盘_设定速度
P22_DiskTime;HoldingRegister;1214;Float32;s;1.0;0.0;HMI→PLC P22盘_设定时间
P24_BallSpeed1;HoldingRegister;1216;Float32;mm/s;1.0;0.0;HMI→PLC P24球_设定速度1
P24_BallSpeed2;HoldingRegister;1218;Float32;mm/s;1.0;0.0;HMI→PLC P24球_设定速度2
P24_BallTime1;HoldingRegister;1220;Float32;s;1.0;0.0;HMI→PLC P24球_设定时间1
P24_BallTime2;HoldingRegister;1222;Float32;s;1.0;0.0;HMI→PLC P24球_设定时间2
P24_DiskSpeed1;HoldingRegister;1224;Float32;mm/s;1.0;0.0;HMI→PLC P24盘_设定速度1
P24_DiskSpeed2;HoldingRegister;1226;Float32;mm/s;1.0;0.0;HMI→PLC P24盘_设定速度2
P24_DiskTime1;HoldingRegister;1228;Float32;s;1.0;0.0;HMI→PLC P24盘_设定时间1
P24_DiskTime2;HoldingRegister;1230;Float32;s;1.0;0.0;HMI→PLC P24盘_设定时间2
P26_BallSpeed1;HoldingRegister;1232;Float32;mm/s;1.0;0.0;HMI→PLC P26球_设定速度1
P26_BallSpeed2;HoldingRegister;1234;Float32;mm/s;1.0;0.0;HMI→PLC P26球_设定速度2
P26_BallSpeed3;HoldingRegister;1236;Float32;mm/s;1.0;0.0;HMI→PLC P26球_设定速度3
P26_BallSpeed4;HoldingRegister;1238;Float32;mm/s;1.0;0.0;HMI→PLC P26球_设定速度4
P26_BallSpeed5;HoldingRegister;1240;Float32;mm/s;1.0;0.0;HMI→PLC P26球_设定速度5
P26_BallSpeed6;HoldingRegister;1242;Float32;mm/s;1.0;0.0;HMI→PLC P26球_设定速度6
P26_BallSpeed7;HoldingRegister;1244;Float32;mm/s;1.0;0.0;HMI→PLC P26球_设定速度7
P26_BallSpeed8;HoldingRegister;1246;Float32;mm/s;1.0;0.0;HMI→PLC P26球_设定速度8
P26_BallSpeed9;HoldingRegister;1248;Float32;mm/s;1.0;0.0;HMI→PLC P26球_设定速度9
P26_BallSpeed10;HoldingRegister;1250;Float32;mm/s;1.0;0.0;HMI→PLC P26球_设定速度10
P26_BallSpeed11;HoldingRegister;1252;Float32;mm/s;1.0;0.0;HMI→PLC P26球_设定速度11
P26_BallSpeed12;HoldingRegister;1254;Float32;mm/s;1.0;0.0;HMI→PLC P26球_设定速度12
P26_BallSpeed13;HoldingRegister;1256;Float32;mm/s;1.0;0.0;HMI→PLC P26球_设定速度13
P26_BallSpeed14;HoldingRegister;1258;Float32;mm/s;1.0;0.0;HMI→PLC P26球_设定速度14
P26_BallSpeed15;HoldingRegister;1260;Float32;mm/s;1.0;0.0;HMI→PLC P26球_设定速度15
P26_BallSpeed16;HoldingRegister;1262;Float32;mm/s;1.0;0.0;HMI→PLC P26球_设定速度16
P26_DiskSpeed1;HoldingRegister;1264;Float32;mm/s;1.0;0.0;HMI→PLC P26盘_设定速度1
P26_DiskSpeed2;HoldingRegister;1266;Float32;mm/s;1.0;0.0;HMI→PLC P26盘_设定速度2
P26_DiskSpeed3;HoldingRegister;1268;Float32;mm/s;1.0;0.0;HMI→PLC P26盘_设定速度3
P26_DiskSpeed4;HoldingRegister;1270;Float32;mm/s;1.0;0.0;HMI→PLC P26盘_设定速度4
P26_DiskSpeed5;HoldingRegister;1272;Float32;mm/s;1.0;0.0;HMI→PLC P26盘_设定速度5
P26_DiskSpeed6;HoldingRegister;1274;Float32;mm/s;1.0;0.0;HMI→PLC P26盘_设定速度6
P26_DiskSpeed7;HoldingRegister;1276;Float32;mm/s;1.0;0.0;HMI→PLC P26盘_设定速度7
P26_DiskSpeed8;HoldingRegister;1278;Float32;mm/s;1.0;0.0;HMI→PLC P26盘_设定速度8
P26_DiskSpeed9;HoldingRegister;1280;Float32;mm/s;1.0;0.0;HMI→PLC P26盘_设定速度9
P26_DiskSpeed10;HoldingRegister;1282;Float32;mm/s;1.0;0.0;HMI→PLC P26盘_设定速度10
P26_DiskSpeed11;HoldingRegister;1284;Float32;mm/s;1.0;0.0;HMI→PLC P26盘_设定速度11
